SITE CODE,Location Name,Latitude/Northings,Longitude/Eastings,EPSG Code,Survey Date,Survey Time,Site observations,Survey duration (hrs),Sampler group name *,Number in sampler group,No. of volunteers testing,Water type,Rainfall in last 7 days,Rainfall (mm) (optional),Water level or flow,Rate of Flow (optional),Air Temperature (deg C),Water Temperature (deg C),pH (pH units),Electrical Conductivity (µS/cm),Turbidity (NTUs),Available Phosphate (mg/L),Dissolved Oxygen (mg/L),Dissolved Oxygen (% sat),Faecal Coliforms (CFU/100mL),E. coli (CFU/100mL),Total Phosphate (mg/L),Nitrates (mg/L as N),Did you calibrate your EC meter?,Water Testing Notes/Issues,Photos uploaded,Verifyed by Ingrid,,,,,,,,,,,,,,,,,,
K1.1,"Kalang K1.1 - Kalang River catchment - Roses Creek, upper Kalang headwaters",-30.513294,152.682187,"WGS 84, Lat/Lon",9/3/21,3:00 PM,"rainfall within last 24 hours, boatmen, midges, stick insects, tadpoles, small fish present
 no visible algae, or pollution",3,Bellingen Riverwatch,1,,Fresh,,,,,25,18,7,80,7,0,8.4,89,,,,,,,"[https://biocollect.ala.org.au/image?id=IMG_20210309_150345_resized_20210312_101331785.jpg, https://biocollect.ala.org.au/image?id=IMG_20210309_150335_resized_20210312_101332316.jpg, https://biocollect.ala.org.au/image?id=IMG_20210309_150322_resized_20210312_101332796.jpg]",,,,,,,,,,,,,,,,,,,
K1.1,"Kalang K1.1 - Kalang River catchment - Roses Creek, upper Kalang headwaters",-30.513294,152.682187,"WGS 84, Lat/Lon",13/4/21,1:30 PM,"Strong rate of flow, clear weather, no wind, no visible pollution. Boatmen (Corixidae) & strange underwater insect. No odour and no algae (very clear - see to the bottom).",0.5,Bellingen Riverwatch,3,,Fresh,Light,4,Medium,,15,14,7,80,7,0,8.2,80,,,,,Yes,,"[https://biocollect.ala.org.au/image?id=Down.jpg, https://biocollect.ala.org.au/image?id=Up.jpg, https://biocollect.ala.org.au/image?id=7_Across.jpg]",Yes,,,,,,,,,,,,,,,,,,
K1.1,"Kalang K1.1 - Kalang River catchment - Roses Creek, upper Kalang headwaters",-30.513294,152.682187,"WGS 84, Lat/Lon",8/6/21,11:45 PM,"slow and steady flow, weather cloudy no visible pollution,",0.45,Bellingen Riverwatch,3,,Fresh,Light,4,Low,,12,9,7,90,7,0.01,10,87,,,,,Yes,"Boatmen, empty mussel shells, yabbies, shrimp, no odour","[https://biocollect.ala.org.au/image?id=k1.1A.jpg, https://biocollect.ala.org.au/image?id=K1.12.jpg, https://biocollect.ala.org.au/image?id=K1.13.jpg]",Yes,,,,,,,,,,,,,,,,,,
K1.1,"Kalang K1.1 - Kalang River catchment - Roses Creek, upper Kalang headwaters",-30.513294,152.682187,"WGS 84, Lat/Lon",14/7/21,3:35 PM,"steady flow, weather cloudy, no visible pollution, no odour or algae, boatmen, small fish 1 inch and 3-4 inches",0.3,Bellingen Riverwatch,2,2,,Light,12,Medium,,10,9,7,70,7,0,9,78,,,,,Yes,,"[https://biocollect.ala.org.au/image?id=k1.1.jpg, https://biocollect.ala.org.au/image?id=k1.1a.jpg, https://biocollect.ala.org.au/image?id=k1.1b.jpg]",YES,,,,,,,,,,,,,,,,,,
K1.1,"Kalang K1.1 - Kalang River catchment - Roses Creek, upper Kalang headwaters",-30.513294,152.682187,,15/9/21,4:35:00 下午,"weather cloudy and cool, no visible pollution, birds- parrots and others, no odour or visible algae",0.35,Bellingen Riverwatch,2,,Fresh,Light,,Medium,,14,12.5,7,,7,,9.1,86,,,,,Yes,[Ingrid - Error issue with EC meter calibration. EC result deleted],"[https://biocollect.ala.org.au/image?id=K1.1_Site_15Sept21.JPG, https://biocollect.ala.org.au/image?id=K1.1_Downriver_15Sept21.JPG, https://biocollect.ala.org.au/image?id=K1.1_Upriver_15Sept21.JPG]",YES,,,,,,,,,,,,,,,,,,
K1.2,Kalang K1.2 - Kalang River - corner of Wyembah Rd & Kalang River Crossing,-30.5057395,152.7038663,"WGS 84, Lat/Lon",9/8/17,11:30 AM,"sunny day, water clear and when a car went over ford very muddy. No fish freezing last night",,Bellingen Riverwatch,,,,Light,,,,9,8,7,90,7,0.17,10.5,89,,,,,false,Tested by Paul Hill. Uploaded by Amy Denshire.,,,,,,,,,,,,,,,,,,,,
K1.2,Kalang K1.2 - Kalang River - corner of Wyembah Rd & Kalang River Crossing,-30.5057395,152.7038663,"WGS 84, Lat/Lon",12/9/17,11:30 AM,Clear & Clean,1,Kalang River Forest Alliance,2,2,Fresh,Light,1,Low,,9,8,7,90,7,0.17,10.5,89,0,,,,true,FC tested by Sue Lennox,Yes,,,,,,,,,,,,,,,,,,,
K1.2,Kalang K1.2 - Kalang River - corner of Wyembah Rd & Kalang River Crossing,-30.5057395,152.7038663,"WGS 84, Lat/Lon",12/9/17,12:05 PM,"last rain 60 days ago, 14mm on 15/7/17",,Bellingen Riverwatch,,,,Nil,,,,16,13,7,100,7,0.03,8.5,81,,,,,false,Tested by Paul Hill. Uploaded by Amy Denshire. ,Yes,,,,,,,,,,,,,,,,,,,
K1.2,Kalang K1.2 - Kalang River - corner of Wyembah Rd & Kalang River Crossing,-30.5057395,152.7038663,"WGS 84, Lat/Lon",10/10/17,1:00 PM,,,Bellingen Riverwatch,1,1,,,,,,23,19,7,100,7,0,6.8,73,,,,,false,Tested by Paul Hill. Uploaded by Amy Denshire. ,Yes,,,,,,,,,,,,,,,,,,,
K1.2,Kalang K1.2 - Kalang River - corner of Wyembah Rd & Kalang River Crossing,-30.5057395,152.7038663,"WGS 84, Lat/Lon",23/11/17,1:00 PM,Lovely sunny day -slight dark tinge in deep pools maybe due to bush firers 5 weeks before- vegetation has grown looking lush,1,Kalang River Forest Alliance,1,1,Fresh,Moderate,55,Medium,,26.5,20,7,100,10,0.07,7.1,78,,,,,true,,,,,,,,,,,,,,,,,,,,,
K1.2,Kalang K1.2 - Kalang River - corner of Wyembah Rd & Kalang River Crossing,-30.5057395,152.7038663,"WGS 84, Lat/Lon",11/12/17,12:20 PM,clear-,1,Kalang River Forest Alliance,1,1,,Moderate,,Medium,5,28,23,8,90,10,0.18,7,82,,,,,false,,,,,,,,,,,,,,,,,,,,,
K1.2,Kalang K1.2 - Kalang River - corner of Wyembah Rd & Kalang River Crossing,-30.5057395,152.7038663,"WGS 84, Lat/Lon",20/12/17,12:20 PM,,1,Kalang River Forest Alliance,1,1,,,,,,28,23,8,90,10,0.18,7,82,,,,,false,,,,,,,,,,,,,,,,,,,,,
K1.2,Kalang K1.2 - Kalang River - corner of Wyembah Rd & Kalang River Crossing,-30.5057395,152.7038663,"WGS 84, Lat/Lon",20/12/17,12:20 PM,,1,Kalang River Forest Alliance,1,1,,,,,,28,23,8,90,10,0.18,,,,,,,false,,,,,,,,,,,,,,,,,,,,,
K1.2,Kalang K1.2 - Kalang River - corner of Wyembah Rd & Kalang River Crossing,-30.5057395,152.7038663,"WGS 84, Lat/Lon",9/1/18,12:20 PM,"White and yellow butterfly, blue butterfly. Smelling spearmint/baby tears. Up a little.",,Bellingen Riverwatch,,3,Fresh,Moderate,,,,30,27,7,100,10,0.13,5,63,,,,,false,,,,,,,,,,,,,,,,,,,,,
K1.2,Kalang K1.2 - Kalang River - corner of Wyembah Rd & Kalang River Crossing,-30.5057395,152.7038663,"WGS 84, Lat/Lon",13/2/18,1:00 PM,slow and low but healthy,1,Kalang River Forest Alliance,1,1,Fresh,Nil,,Low,3,28,27,7,110,7,0.08,6,75,,,,,true,,,,,,,,,,,,,,,,,,,,,
K1.2,Kalang K1.2 - Kalang River - corner of Wyembah Rd & Kalang River Crossing,-30.5057395,152.7038663,"WGS 84, Lat/Lon",14/3/18,11:45 AM,"137mm of rain over last 10 days. River medium level, light and clear",,Kalang River Forest Alliance,1,1,Fresh,Moderate,137,,,22,20,7,90,7,0.04,6.8,75,,,,,false,Uploaded by Ingrid,,,,,,,,,,,,,,,,,,,,
K1.2,Kalang K1.2 - Kalang River - corner of Wyembah Rd & Kalang River Crossing,-30.5057395,152.7038663,"WGS 84, Lat/Lon",10/4/18,11:30 AM,20mm on 4/4/18. 330mm for March. ,,Bellingen Riverwatch,,1,,Moderate,,,,21,19,7,90,7,0.04,7.7,83,,,,,false,"Tested by Paul Hill, uploaded by Amy Denshire. ",,,,,,,,,,,,,,,,,,,,
K1.2,Kalang K1.2 - Kalang River - corner of Wyembah Rd & Kalang River Crossing,-30.5057395,152.7038663,"WGS 84, Lat/Lon",9/5/18,11:25 AM,Light rainfall within last 7 days. ,,Bellingen Riverwatch,,,,Light,,,,18,16,8,90,7,0.05,8.6,87,,,,,false,Tested by Paul Hill. Uploaded by Amy Denshire. ,,,,,,,,,,,,,,,,,,,,
K1.2,Kalang K1.2 - Kalang River - corner of Wyembah Rd & Kalang River Crossing,-30.5057395,152.7038663,"WGS 84, Lat/Lon",20/6/18,11:56 AM,Steady flow & clear,,Kalang River Forest Alliance,1,1,Fresh,,,,,14,14,7,70,7,0.04,9.2,89,,,,,false,uploaded by Ingrid,,,,,,,,,,,,,,,,,,,,
K1.2,Kalang K1.2 - Kalang River - corner of Wyembah Rd & Kalang River Crossing,-30.5057395,152.7038663,"WGS 84, Lat/Lon",11/7/18,2:10 PM,"Light rainfall in last 7 days. 50mm rainfall greater than 7 days. Steady low flow, 30% cloud, still. ",,Bellingen Riverwatch,,,,Light,,Low,,12,10,7,70,7,0,9,80,,,,,false,"Tested by Paul Hill, uploaded by Amy Denshire. ",,,,,,,,,,,,,,,,,,,,
K1.2,Kalang K1.2 - Kalang River - corner of Wyembah Rd & Kalang River Crossing,-30.5057395,152.7038663,"WGS 84, Lat/Lon",14/8/18,2:50 PM,"Low normal winter low, flowing well, clear. ",,Bellingen Riverwatch,,,,Nil,,Low,,13,8.5,7,70,7,0,9.8,85,,,,,false,"Tested by Paul Hill, uploaded by Amy Denshire. ",,,,,,,,,,,,,,,,,,,,
K1.2,Kalang K1.2 - Kalang River - corner of Wyembah Rd & Kalang River Crossing,-30.5057395,152.7038663,"WGS 84, Lat/Lon",11/9/18,1:20 PM,"52mm rain between 4-8 September. Good, clear flow. 67mm rain for month. ",,Bellingen Riverwatch,,,,Moderate,,Medium,,17,15,7,70,7,0.03,8.6,85,,,,,false,"Tested by Paul Hill, uploaded by Amy Denshire. ",,,,,,,,,,,,,,,,,,,,
K1.2,Kalang K1.2 - Kalang River - corner of Wyembah Rd & Kalang River Crossing,-30.5057395,152.7038663,"WGS 84, Lat/Lon",11/10/18,3:00 PM,Rainfall: 151mm within 24 hours. 204mm within 1-7 days. Thunder storm overnight. River high but not muddy. ,,Bellingen Riverwatch,,,,Heavy,,,,15,13,8,40,20,0.16,8,76,,,,,false,"(Testing sheet said less than 8 for pH). Tested by Paul Hill, uploaded by Amy Denshire. ",,,,,,,,,,,,,,,,,,,,
K1.2,Kalang K1.2 - Kalang River - corner of Wyembah Rd & Kalang River Crossing,-30.5057395,152.7038663,"WGS 84, Lat/Lon",13/11/18,1:40 PM,Light rain with last 1-7 days. ,,Bellingen Riverwatch,,,,Light,,,,24,18,7,70,,0.03,7.8,82,,,,,false,"Tested by Paul Hill, uploaded by Amy Denshire. ",,,,,,,,,,,,,,,,,,,,
K1.2,Kalang K1.2 - Kalang River - corner of Wyembah Rd & Kalang River Crossing,-30.5057395,152.7038663,"WGS 84, Lat/Lon",11/12/18,12:45 PM,little low but steady flow. 50mm last rainfall. Rain last month was 79mm. ,,Bellingen Riverwatch,,,,Heavy,50,Medium,,23,21,7,80,7,0.04,6,67,,,,,false,"Tested by Paul Hill, uploaded by Amy Denshire.",,,,,,,,,,,,,,,,,,,,
K1.2,Kalang K1.2 - Kalang River - corner of Wyembah Rd & Kalang River Crossing,-30.5057395,152.7038663,"WGS 84, Lat/Lon",11/2/19,12:24 PM,slow sready flow,,Bellingen Riverwatch,2,1,,Moderate,58,Low,,21,24,7,70,7,0,7.9,94,,,,,true,,,,,,,,,,,,,,,,,,,,,
K1.2,Kalang K1.2 - Kalang River - corner of Wyembah Rd & Kalang River Crossing,-30.5057395,152.7038663,"WGS 84, Lat/Lon",12/3/19,11:04 AM,,1,Bellingen Riverwatch,1,1,,Moderate,78,Medium,,21,22,7,70,7,0.01,5.8,67,,,,,true,,,,,,,,,,,,,,,,,,,,,
K1.2,Kalang K1.2 - Kalang River - corner of Wyembah Rd & Kalang River Crossing,-30.5057395,152.7038663,"WGS 84, Lat/Lon",14/5/19,11:30 AM,2mm rainfall. Last month 84mm. Tear - 466mm. Winter flow - slow but steady,,Bellingen Riverwatch,,,,Light,2,,,15,13,7,70,7,0.02,7.8,74,,,,,false,Tested by Paul Hill. Uploaded by Amy Denshire. ,,,,,,,,,,,,,,,,,,,,
K1.2,Kalang K1.2 - Kalang River - corner of Wyembah Rd & Kalang River Crossing,-30.5057395,152.7038663,"WGS 84, Lat/Lon",12/6/19,11:00 AM,"Slow flow, low, fine blue sky, no visible pollution, wildlife present or odour. Algae present in pools between K1.2 and K1.1. ",0.5,Bellingen Riverwatch,1,,,Light,13,Medium,,14,10,7,70,7,0.22,9.1,81,,,,,false,"Tested by Paul Hill, uploaded by Amy Denshire. Last rainfall 1-7 days. ",,,,,,,,,,,,,,,,,,,,
K1.2,Kalang K1.2 - Kalang River - corner of Wyembah Rd & Kalang River Crossing,-30.5057395,152.7038663,"WGS 84, Lat/Lon",10/7/19,2:40 PM,"Good flow, clear, no pollution, odour, algae. ",0.5,Bellingen Riverwatch,1,1,,Light,105,Medium,,14,10,7,70,7,0.2,9,80,,,,,false,"Tested by Paul Hill, uploaded by Amy Denshire ",,,,,,,,,,,,,,,,,,,,
K1.2,Kalang K1.2 - Kalang River - corner of Wyembah Rd & Kalang River Crossing,-30.5057395,152.7038663,"WGS 84, Lat/Lon",13/8/19,12:30 PM,"slow flow, clear, low. fine, cool weather. no visible pollution, wildlife, odour, algae. ",,Bellingen Riverwatch,1,1,,,,,,15,10,7,70,7,0.02,8,71,,,,,false,"Last rainfall was more than 7 days ago. Tested by Paul Hill, uploaded by Amy Denshire. ",,,,,,,,,,,,,,,,,,,,
K1.2,Kalang K1.2 - Kalang River - corner of Wyembah Rd & Kalang River Crossing,-30.5057395,152.7038663,"WGS 84, Lat/Lon",9/10/19,3:30 PM,"slow flow, passing clouds, no visible pollution, no odour, very little algae. ",0.5,Bellingen Riverwatch,1,1,,Nil,,Low,,22,20,7,90,7,0.02,7.1,78,,,,,true,"Tested by Paul Hill, uploaded by Amy Denshire. ",,,,,,,,,,,,,,,,,,,,
K1.2,Kalang K1.2 - Kalang River - corner of Wyembah Rd & Kalang River Crossing,-30.5057395,152.7038663,"WGS 84, Lat/Lon",15/11/19,12:20 PM,"just flowing, smoky (fires), no visible pollution, dragonfly, tadpoles, bee, no odoue, no algae.",Nil,Bellingen Riverwatch,,,,,,Low,,27,24.5,6,100,7,0.01,6,73,,,,,Yes,Last rainfall more than 7 days,Yes,,,,,,,,,,,,,,,,,,,
K1.2,Kalang K1.2 - Kalang River - corner of Wyembah Rd & Kalang River Crossing,-30.5057395,152.7038663,"WGS 84, Lat/Lon",26/12/19,5:30 PM,"Just started to flow, sunny - cloud, no wind, king fisher, azure, cicadas",,Bellingen Riverwatch,3,1,Fresh,Moderate,55mm,Low,,23,21,6,110,400,0,3.2,36,,,,,Yes,"Last rainfall within 24 hours. Fires in Kalang-Roses cathcment. 30th Nov-1st Dec then 33mm then 55mm rain, 2ft rise in river, lots mud red brown and ash.",Yes,,,,,,,,,,,,,,,,,,,
K1.2,Kalang K1.2 - Kalang River - corner of Wyembah Rd & Kalang River Crossing,-30.5057395,152.7038663,"WGS 84, Lat/Lon",12/2/20,12:30 PM,"363mm last 9 days, 629mm so far this year. Strong flow, Wet - overcast, sediment, bushfire ash, coffee colour.",,Bellingen Riverwatch,,,,Heavy,,High,,26.5,21,6,60,15,0.11,7.8,87,,,,,Yes,yet to scan,Paul Hill,Yes,,,,,,,,,,,,,,,,,,
K1.2,Kalang K1.2 - Kalang River - corner of Wyembah Rd & Kalang River Crossing,-30.5057395,152.7038663,"WGS 84, Lat/Lon",11/3/20,4:20 PM,"Fast flow, overcast, rain, no visible pollution, wildlife present, odour, or algae. ",0.5,Bellingen Riverwatch,1,,Moderate,,,Medium,,20,19.5,7,70,7,0,8.2,90,,,,,Yes,Last rainfall was within 24 hours. Tested by Paul Hill. Uploaded by Amy Denshire. ,"[https://biocollect.ala.org.au/image?id=0_Downstream.jpg, https://biocollect.ala.org.au/image?id=0_Upstream.jpg, https://biocollect.ala.org.au/image?id=0_Across.jpg]",,,,,,,,,,,,,,,,,,,
K1.2,Kalang K1.2 - Kalang River - corner of Wyembah Rd & Kalang River Crossing,-30.5057395,152.7038663,"WGS 84, Lat/Lon",15/4/20,3:00 PM,"Steady flow, fine weather, no visible pollution, wildlife present, odour, or algae. ",0.5,Bellingen Riverwatch,1,,Fresh,Light,17,Medium,,24,16,7,80,7,0,8.6,87,,,,,Yes,"Last rainfall was 1-7 days. Tested by Paul Hill, uploaded by Amy Denshire. ",,YES,,,,,,,,,,,,,,,,,,
K1.2,Kalang K1.2 - Kalang River - corner of Wyembah Rd & Kalang River Crossing,-30.505703,152.7035828,"WGS 84, Lat/Lon",12/5/20,1:00 PM,"Steady flow, partly cloudy, no pollution, odour or visible algae. ",0.75,Bellingen Riverwatch,1,1,Fresh,Light,3,Medium,,14,11,,80,7,0.00,9.6,87,,,,,No,Tested by Paul Hill. Uploaded by Amy Denshire. ,"[https://biocollect.ala.org.au/image?id=20200512_K1.2_Downstream.jpg, https://biocollect.ala.org.au/image?id=20200512_K1.2_Upstream.jpg]",Yes,,,,,,,,,,,,,,,,,,
K1.2,Kalang K1.2 - Kalang River - corner of Wyembah Rd & Kalang River Crossing,-30.5057395,152.7038663,"WGS 84, Lat/Lon",11/6/20,1:00 PM,"good steady flow. Fine, sunny. No pollution, wildlife, odour, algae. ",0.5,Bellingen Riverwatch,1,,Fresh,Moderate,,Medium,,18,13,7,70,7,0.00,8.8,83,,,,,,Tested by Paul Hill. Uploaded by Amy Denshire. ,"[https://biocollect.ala.org.au/image?id=20200611_K1.2_downstream.jpg, https://biocollect.ala.org.au/image?id=20200611_K1.2_upstream.jpg, https://biocollect.ala.org.au/image?id=20200611_K1.2_across.jpg]",Yes,,,,,,,,,,,,,,,,,,
K1.2,Kalang K1.2 - Kalang River - corner of Wyembah Rd & Kalang River Crossing,-30.5057395,152.7038663,"WGS 84, Lat/Lon",14/7/20,4:00 PM,"Windy, cool, overcast. No pollution, wildlife, odour or algae. ",0.5,Bellingen Riverwatch,1,,Fresh,Moderate,10,Medium,,13,10,7,80,7,0.00,9.4,83,,,,,Yes,Tested by Paul Hill. Uploaded by Amy Denshire. ,"[https://biocollect.ala.org.au/image?id=20200714_K1.2_across.jpg, https://biocollect.ala.org.au/image?id=20200714_K1.2_downstream.jpg, https://biocollect.ala.org.au/image?id=20200714_K1.2_upstream.jpg]",Yes,,,,,,,,,,,,,,,,,,
K1.2,Kalang K1.2 - Kalang River - corner of Wyembah Rd & Kalang River Crossing,-30.5057395,152.7038663,"WGS 84, Lat/Lon",12/8/20,11:20 AM,"steady water flow, weather calm, visible pollution nil, , no odour, no algae ",,Bellingen Riverwatch,1,,Fresh,Moderate,18,Medium,,16,11,7,80,7,0,8.9,81,,,,,Yes,,"[https://biocollect.ala.org.au/image?id=k21.jpg, https://biocollect.ala.org.au/image?id=k22.jpg]",Yes,,,,,,,,,,,,,,,,,,
K1.2,Kalang K1.2 - Kalang River - corner of Wyembah Rd & Kalang River Crossing,-30.5057395,152.7038663,"WGS 84, Lat/Lon",9/9/20,8:30 AM,"weather sunny with some cloud,slow steady flow , nil algae, pollution or wildflife",0.35,Bellingen Riverwatch,1,,Fresh,Light,3,Medium,,12,13,6,100,7,0.03,7.8,74,,,,,Yes,,"[https://biocollect.ala.org.au/image?id=k129.jpg, https://biocollect.ala.org.au/image?id=k1239.jpg]",YES,,,,,,,,,,,,,,,,,,
K1.2,Kalang K1.2 - Kalang River - corner of Wyembah Rd & Kalang River Crossing,-30.5057395,152.7038663,"WGS 84, Lat/Lon",14/10/20,4:00 PM,"steady low flow,nil visible pollution ,nil odour, nil algae",0.40,Bellingen Riverwatch,1,,,Light,,Low,,23,19.5,6,100,7,0.00,7.2,79,,,,,Yes,,"[https://biocollect.ala.org.au/image?id=ki.20ct1.jpg, https://biocollect.ala.org.au/image?id=ki.220ct.jpg, https://biocollect.ala.org.au/image?id=k1.20ct3.jpg]",YES,Fresh,,,,,,,,,,,,,,,,,
K1.2,Kalang K1.2 - Kalang River - corner of Wyembah Rd & Kalang River Crossing,-30.5057395,152.7038663,"WGS 84, Lat/Lon",13/1/21,3:10 PM,"warm, fine",,Bellingen Riverwatch,1,,Fresh,Moderate,110,Medium,,28,20,7,70,7,0.03,8.6,95,,,,,Yes,flood event in early january,,YES,,,,,,,,,,,,,,,,,,
K1.3,"Kalang K1.3 - Samuel Creek, tributary of Kalang River, Kalang",-30.50715585,152.7747484,"WGS 84, Lat/Lon",11/3/20,3:00 PM,"Fast, medium, clear flow. Overcast. Drizzle. No visible pollution, odour or algae. ",0.5,Bellingen Riverwatch,1,,Moderate,,,Medium,,20,16,,80,7,0.04,8.2,83,,,,,Yes,"Tested by Paul Hill, uploaded by Amy Denshire. ","[https://biocollect.ala.org.au/image?id=Across.jpg, https://biocollect.ala.org.au/image?id=Upstream.jpg, https://biocollect.ala.org.au/image?id=Downstream.jpg]",,,,,,,,,,,,,,,,,,,
K1.3,"Kalang K1.3 - Samuel Creek, tributary of Kalang River, Kalang",-30.50715585,152.7747484,"WGS 84, Lat/Lon",12/5/20,4:00 PM,"Stready, tickly flow. Overcast, cloudy. No pollution, wildlife, odour, visible algae. The clearest for the year so far. 1109mm rain so far this year. ",0.5,Bellingen Riverwatch,1,1,Fresh,Light,,Low,,14,11,7,80,7,0.03,9.8,89,,,,,No,Tested by Paul Hill. ,"[https://biocollect.ala.org.au/image?id=20200512_K1.3_Across.jpg, https://biocollect.ala.org.au/image?id=20200512_K1.3_Upstream.jpg, https://biocollect.ala.org.au/image?id=20200512_K1.3_Downstream.jpg]",Yes,,,,,,,,,,,,,,,,,,
K1.3,"Kalang K1.3 - Samuel Creek, tributary of Kalang River, Kalang",-30.50715585,152.7747484,"WGS 84, Lat/Lon",11/6/20,6:30 PM,"Steady flow. Fine, sunny-dark. No pollution, Little fish, baby shrimp. No odour, algae. ",0.5,Bellingen Riverwatch,1,,Fresh,Moderate,49,Medium,,15,13,7,80,7,0.04,8.8,83,,,,,Yes,Tested by Paul Hill. Uploaded by Amy Denshire. ,"[https://biocollect.ala.org.au/image?id=20200611_K1.3_across.jpg, https://biocollect.ala.org.au/image?id=20200611_K1.3_downstream.jpg, https://biocollect.ala.org.au/image?id=20200611_K1.3_upstream.jpg]",Yes,,,,,,,,,,,,,,,,,,
K1.3,"Kalang K1.3 - Samuel Creek, tributary of Kalang River, Kalang",-30.50715585,152.7747484,"WGS 84, Lat/Lon",15/7/20,1:00 PM,"Sunny, windy. No pollution, wildlife, odour or algae.",0.5,Bellingen Riverwatch,1,,Fresh,Light,10,Medium,,11,9,7,80,7,0.03,9.4,81,,,,,Yes,"Tested by Paul Hill. Uploaded by Amy Denshire. Need phosphate acid reagent, sulphuric acid and manganous sulphate solution.","[https://biocollect.ala.org.au/image?id=20200716_K1.3_across.jpg, https://biocollect.ala.org.au/image?id=20200716_K1.3_downstream.jpg, https://biocollect.ala.org.au/image?id=20200716_K1.3_upstream.jpg]",Yes,,,,,,,,,,,,,,,,,,
K1.3,"Kalang K1.3 - Samuel Creek, tributary of Kalang River, Kalang",-30.50715585,152.7747484,"WGS 84, Lat/Lon",12/8/20,3:40 PM,"steady water flow, no visible pollution, odour, algae or wildlife",4.10,Bellingen Riverwatch,3,,Fresh,Light,18,Medium,,14,9,7,80,7,0.00,9.7,84,,,,,Yes,,"[https://biocollect.ala.org.au/image?id=k31.jpg, https://biocollect.ala.org.au/image?id=k32.jpg]",Yes,,,,,,,,,,,,,,,,,,
K1.3,"Kalang K1.3 - Samuel Creek, tributary of Kalang River, Kalang",-30.50715585,152.7747484,"WGS 84, Lat/Lon",8/9/20,2:15 PM,"weather sunny, some cloud, nil algae, pollution or wildlife",0.40,Bellingen Riverwatch,1,,Fresh,Light,3,Medium,,17,13,7,90,7,0.01,9.4,89,,,,,,,"[https://biocollect.ala.org.au/image?id=k1.319.jpg, https://biocollect.ala.org.au/image?id=k1.329.jpg]",YES,,,,,,,,,,,,,,,,,,
K1.3,"Kalang K1.3 - Samuel Creek, tributary of Kalang River, Kalang",-30.5067844,152.6892548,"WGS 84, Lat/Lon",14/10/20,5:00 PM,,0.40,Bellingen Riverwatch,1,1,,Light,,Low,,15,15,6,100,7,0.13,8.2,81,,,,,Yes,,"[https://biocollect.ala.org.au/image?id=K1.3%29ct1.jpg, https://biocollect.ala.org.au/image?id=K1.3%28ct2.jpg, https://biocollect.ala.org.au/image?id=K1.3%29ct3.jpg]",YES,Fresh,,,,,,,,,,,,,,,,,
K1.3,"Kalang K1.3 - Samuel Creek, tributary of Kalang River, Kalang",-30.507156,152.774748,"WGS 84, Lat/Lon",10/11/20,10:00 AM,"Sunny, not too hot. Slow flow. Water clear. Last rainfall in 1-7 days.",1,Bellingen Riverwatch,,,Fresh,Light,,Low,,19,14,7,100,7,0,8.2,80,,,,,,Tested by Paul Hill. Uploaded by Amy Denshire,"[https://biocollect.ala.org.au/image?id=IMG_20201110_103919.jpg, https://biocollect.ala.org.au/image?id=IMG_20201110_103930.jpg, https://biocollect.ala.org.au/image?id=IMG_20201110_103943.jpg]",YES,,,,,,,,,,,,,,,,,,
K1.3,"Kalang K1.3 - Samuel Creek, tributary of Kalang River, Kalang",-30.50715585,152.7747484,"WGS 84, Lat/Lon",13/1/21,2:00 PM,,,Bellingen Riverwatch,1,,Fresh,Moderate,110,Medium,,25,18,7,70,7,0.03,8.5,90,,,,,Yes,,"[https://biocollect.ala.org.au/image?id=ki.31.jpg, https://biocollect.ala.org.au/image?id=k1.3a.jpg]",YES,,,,,,,,,,,,,,,,,,
K1.3,"Kalang K1.3 - Samuel Creek, tributary of Kalang River, Kalang",-30.507156,152.774748,"WGS 84, Lat/Lon",9/3/21,1:30 PM,,,Bellingen Riverwatch,3,,Fresh,Light,4,Medium,,22,18,7,80,7,0.06,6.3,67,,,,,Yes,"strong water flow
 weather clear, no pollution.
 , odour or algae","[https://biocollect.ala.org.au/image?id=IMG_20210309_135613_resized_20210312_101818277.jpg, https://biocollect.ala.org.au/image?id=IMG_20210309_135545_resized_20210312_101819325.jpg, https://biocollect.ala.org.au/image?id=IMG_20210309_135602_resized_20210312_101818815.jpg]",YES,,,,,,,,,,,,,,,,,,
K1.3,"Kalang K1.3 - Samuel Creek, tributary of Kalang River, Kalang",-30.507156,152.774748,"WGS 84, Lat/Lon",13/4/21,2:30 PM,"Strong flow, clear weather, no wind, no visible pollution or algae, no odour. 1 yabby hole, 1 small fish.",0.5,Bellingen Riverwatch,3,,Fresh,Light,4,Medium,,14,13,6.5,80,7,0.03,8.6,82,,,,,Yes,"Oxygen probe results: 95.7% sat, 16.5 degree
 New volunteer Adam Niccoli accompanied me","[https://biocollect.ala.org.au/image?id=1_Up.jpg, https://biocollect.ala.org.au/image?id=1_Down.jpg, https://biocollect.ala.org.au/image?id=9_Across.jpg]",Yes,,,,,,,,,,,,,,,,,,
